pmid,journal,impact_factor,policy_strength,is_usa_address,is_nih_funded,num_authors,any_nih_data_sharing_applies,any_nih_data_sharing_new_grant,sum_of_max_award_for_each_grant,any_direct_cost_over_500k,any_new_or_renewed_since_2003,first_first_year,first_hindex,first_aindex,first_num_papers,first_total_pmc_citations,last_first_year,last_hindex,last_aindex,last_num_papers,last_total_pmc_citations,is_data_shared
16960149,Blood,10.896,2,0,0,21,0,0,0,0,0,2007,0,0,1,0,1993,4,6,44,52,0
16973760,Mol. Endocrinol.,5.337,1,0,0,7,0,0,0,0,0,2003,1,2,15,6,1999,3,4,31,47,0
17003378,Blood,10.896,2,0,0,11,0,0,0,0,0,1975,7,20,35,164,1992,7,26,30,224,1
17008382,Mol. Endocrinol.,5.337,1,0,1,11,0,0,364369,0,1,2003,0,0,3,0,1997,3,4,31,35,0
17018853,Blood,10.896,2,1,1,6,1,0,7442558,1,1,2004,3,3,5,11,1998,8,52,24,446,0
17018861,Blood,10.896,2,0,0,10,0,0,0,0,0,2003,2,5,9,12,1990,7,12,100,255,0
17023530,Endocrinology,5.045,0,0,0,2,0,0,0,0,0,2005,0,0,3,0,1973,5,5,135,96,0
17023574,Blood,10.896,2,1,1,12,1,0,3960128,1,1,2001,5,12,37,96,1989,9,22,94,299,1
17060456,Mol. Cell. Biol.,6.42,2,1,1,5,0,0,3925330,1,1,2000,4,5,14,22,1994,9,50,24,472,1
17068156,Blood,10.896,2,1,1,9,1,1,393766208,1,1,1997,2,2,7,9,1993,6,18,18,125,0
17068196,Mol. Endocrinol.,5.337,1,1,1,9,1,0,5383680,1,1,1994,4,78,12,322,1992,6,19,64,179,0
17077326,Blood,10.896,2,0,0,10,0,0,0,0,0,1991,6,12,67,119,1971,12,36,301,871,0
17095510,J. Biol. Chem.,5.581,2,1,1,8,0,0,1031236,0,1,2003,1,1,6,1,1992,4,5,29,48,0
17095626,Blood,10.896,2,0,0,8,0,0,0,0,0,2007,0,0,1,0,1993,4,6,39,43,0
17099705,Nat. Methods,15.478,2,1,1,3,0,0,361354,0,1,2004,1,2,3,2,1998,4,5,18,36,1
17101774,Mol. Cell. Biol.,6.42,2,1,1,7,0,0,352484,0,1,2002,2,9,5,21,1970,42,70,236,5538,0
17101777,Mol. Cell. Biol.,6.42,2,1,1,4,0,0,449395,0,1,2002,1,2,3,2,1986,24,83,60,2328,0
17101797,Mol. Cell. Biol.,6.42,2,0,0,11,0,0,0,0,0,2002,1,6,18,8,2002,4,14,31,80,1
17105730,J. Biol. Chem.,5.581,2,0,0,6,0,0,0,0,0,2007,0,0,1,0,1981,4,9,30,61,0
17105813,Blood,10.896,2,1,1,27,1,0,3960128,1,1,1989,9,22,94,299,1972,10,16,422,586,1
17105821,Blood,10.896,2,1,1,11,0,0,3473381,1,1,1986,12,19,76,415,1998,3,7,12,31,1
17110422,Endocrinology,5.045,0,0,1,10,0,0,281868,0,0,1996,4,22,15,100,1987,5,9,52,68,0
17110430,Endocrinology,5.045,0,1,1,7,0,0,722516,0,0,1974,2,4,25,21,1982,5,8,136,133,0
17115035,Nat. Methods,15.478,2,1,1,12,1,1,393766208,1,1,2000,1,15,4,15,1968,18,43,221,1356,0
