"isbn","uclaNew","amazNew"
"978-0803272620",27.67,27.95
"978-0030119194",40.59,31.14
"978-0300080643",31.68,32
"978-0226206813",16,11.52
"978-0892365999",18.95,14.21
"978-0394723693",14.95,10.17
"978-0822338437",24.7,20.06
"978-0816646135",19.5,16.66
"978-0195123401",123.84,106.25
"978-0896086265",17,13.26
"978-0791420621",31.63,29.95
"978-0321295354",116,88.09
"978-0393329254",27.67,18.45
"978-0195181234",24.7,16.47
"978-0470509487",126.67,97.38
"978-0521711128",53.9,47.51
"978-0393927634",89.73,74.93
"978-0324421620",171,132.77
"978-0131497269",152,121.5
"978-0471287704",124.8,108
"978-0582276024",16,11.67
"978-0199561339",25.95,18.94
"978-0374515362",18,12.24
"978-0804747295",21.73,21.95
"978-0132306416",40.59,31.14
"978-1577665304",28.95,28.95
"978-2020525718",19.95,16.15
"978-1405102667",49.45,37.75
"978-0205668946",41.09,31.78
"978-1598561692",50.95,32.97
"978-1560000259",44.5,30.87
"978-0198149248",82.45,85
"978-0742567498",34.6,34.95
"978-0761918479",88.42,97.95
"978-0763745554",84,81.18
"978-0140447187",11.25,9.5
"978-1400033416",15,10.2
"978-0716776710",180.03,134.69
"978-0470419977",174,143.75
"978-0534407612",188.58,176
"978-0077251031",146.75,150.63
"978-0078136634",183.75,145.4
"978-0324828641",214.5,173.56
"978-0073379661",197,131
"978-0131407374",194,157.68
"978-0073404769",176.25,137.17
"978-0195162578",24.7,24.95
"978-0534491437",188,159.28
"978-0393090406",29.7,23.07
"978-1588264169",26.24,21.04
"978-0205753383",55.13,42.68
"978-0393976267",43.56,39.37
"978-0471663799",129.6,85.2
"978-1429227049",123.84,93.13
"978-0073378541",85.12,67.4
"978-0495099697",152.48,132.79
"978-0674304437",29.7,24.31
"978-0520265882",24.7,24.95
"978-1412969666",89.71,85.45
"978-0812968378",10.5,10.08
"978-0618527748",92.88,65.73
"978-0471013914",100.88,84.26
"978-0393310726",11.95,8.6
"978-1584883883",72.47,58.42
"978-0412043710",92.1,80.37
"978-1441931566",78.35,64.09
"978-1592134328",42,37.04
"978-0520224759",18.75,20.21
"978-1412923484",48.46,39.34
"978-0195390827",39.55,26.37
"978-0820474151",29.65,24.19
"978-1570755637",23.76,18.72
"978-0822341147",27.7,18.22
