Order,SuperFamily,Family,Genus,Species,FW,SW,FB,SB,LS,GL,BW,WA,AI,LY,AM,IB
Carnivora,Caniformia,Canidae,Canis,Canis lupus,31.1,33.1,130.0,132.3,5.5,63.0,425.0,35,NA,177,913,12
Carnivora,Caniformia,Canidae,Canis,Canis latrans,9.7,10.6,84.5,88.3,6.2,61.5,225.0,98,NA,NA,365,12
Carnivora,Caniformia,Canidae,Canis,Canis adustus,10.6,11.3,53.5,51.8,4.3,63.3,NA,NA,NA,127,,
Carnivora,Caniformia,Canidae,Canis,Canis mesomelas,7.2,7.7,52.0,56.8,3.8,60.0,NA,61,270,NA,392,
Carnivora,Caniformia,Canidae,Lycaon,Lycaon pictus,22.2,22.0,128.0,129.0,8.8,70.5,365.0,77,390,132,t 132,13
Carnivora,Caniformia,Canidae,Cuon,Cuon alpinus,13.8,15.8,95.0,95.0,4.3,62.0,275.0,NA,NA,186,,
Carnivora,Caniformia,Canidae,Alopex,Alopex lagopus,2.9,3.2,37.0,35.5,7.1,53.3,66.0,21,165,108,293,12
Carnivora,Caniformia,Canidae,Vulpes,Vulpes vulpes,3.9,4.1,43.0,43.5,4.8,54.5,105.0,56,225,144,,12
Carnivora,Caniformia,Canidae,Vulpes,Vulpes bengalensis,1.8,2.4,24.5,25.8,3.5,52.0,NA,NA,NA,NA,,
Carnivora,Caniformia,Canidae,Vulpes,Vulpes chama,3.1,3.1,33.0,33.5,4.0,NA,NA,NA,NA,NA,,
Carnivora,Caniformia,Canidae,Fennecus,Fennecus zerda,1.5,1.5,17.5,17.3,2.8,54.3,34.8,66,NA,141,,12
Carnivora,Caniformia,Canidae,Otocyon,Otocyon megalotis,3.9,3.9,24.5,26.8,3.5,62.5,NA,105,NA,NA,,
Carnivora,Caniformia,Canidae,Urocyon,Urocyon cinereoargenteus,3.3,3.7,39.5,40.8,3.8,63.0,107.5,NA,NA,NA,365,12
Carnivora,Caniformia,Canidae,Dusicyon,Dusicyon culpaeus,6.7,7.4,51.0,51.5,5.0,57.5,168.0,NA,NA,NA,365,12
Carnivora,Caniformia,Canidae,Dusicyon,Dusicyon gylnnocercus,4.2,4.4,40.0,40.0,4.0,58.0,NA,NA,NA,NA,,12
Carnivora,Caniformia,Canidae,Cerdocyon,Cerdocyon thous,6.0,6.0,40.5,41.8,3.1,56.0,140.0,90,195,NA,365,8
Carnivora,Caniformia,Canidae,Chrysocyon,Chrysocyon brachyurus,23.0,23.0,116.0,120.0,1.8,63.3,360.0,NA,NA,162,,
Carnivora,Caniformia,Canidae,Speothos,Speothos venalicus,8.0,8.0,41.5,40.5,3.5,65.0,NA,NA,NA,NA,,
Carnivora,Caniformia,Ursidae,Ursus,Ursus arctos,298.5,298.5,339.0,338.3,2.0,63.0,1e3,730,648,304,1338,30
Carnivora,Caniformia,Ursidae,Ursus,Ursus americanus,97.0,110.5,228.0,259.0,2.5,91.0,285.0,168,483,270,1834,27
Carnivora,Caniformia,Ursidae,Thalarctos,Thalarctos maritimus,320.0,365.0,365.0,459.5,1.9,NA,641.6,NA,821,408,1734,24
Carnivora,Caniformia,Ursidae,Selenarctos,Selenarctos thibetanus,77.5,103.8,298.0,312.5,2.0,NA,NA,119,913,396,1186,
Carnivora,Caniformia,Procyonidae,Bassariscus,Bassariscus astutus,0.87,0.95,16.0,16.5,3.0,52.0,28.0,120,NA,96,300,
Carnivora,Caniformia,Procyonidae,Polos,Polos flavus,2.0,2.1,24.0,25.5,1.5,106.5,170.5,NA,NA,228,,
Carnivora,Caniformia,Procyonidae,Nasua,Nasua narica,5.0,5.0,37.0,37.0,4.0,73.5,140.0,NA,NA,NA,,12
Carnivora,Caniformia,Procyonidae,Procyon,Procyon lotor,6.7,6.4,39.0,40.0,3.8,64.7,105.9,119,NA,120,540,12
Carnivora,Caniformia,Ailuridae,Ailuropoda,Ailuropoda melanoleuca,120.0,135.0,205.0,234.3,1.5,NA,104.8,180,180,216,2312,12
Carnivora,Caniformia,Mustelidae,Mustela,Mustela erminea,0.62,0.95,3.0,4.0,4.5,70.0,1.7,NA,NA,NA,336,12
Carnivora,Caniformia,Mustelidae,Mustela,Mustela nivalis,0.06,0.08,2.0,2.0,5.8,42.0,3.0,32,NA,NA,,6
Carnivora,Caniformia,Mustelidae,Mustela,Mustela rixosa,0.05,0.05,1.0,1.0,4.8,37.0,0.01,24,NA,NA,,6
Carnivora,Caniformia,Mustelidae,Mustela,Mustelafrenata,0.23,2.33,4.0,4.0,6.0,23.5,3.1,30,84,NA,252,12
Carnivora,Caniformia,Mustelidae,Mustela,Mustela altaica,0.13,0.19,4.5,4.5,4.0,40.0,NA,56,56,NA,,
Carnivora,Caniformia,Mustelidae,Mustela,Mustela sibirica,0.4,0.57,6.0,6.75,5.0,29.0,NA,56,NA,NA,,
Carnivora,Caniformia,Mustelidae,Mustela,Mustela lutreola,0.44,0.59,8.0,8.5,4.5,38.5,NA,70,NA,NA,365,
Carnivora,Caniformia,Mustelidae,Mustela,Mustela vison,0.61,0.91,7.0,8.5,5.0,29.0,NA,NA,NA,NA,420,12
Carnivora,Caniformia,Mustelidae,Mustela,Mustela putorius,0.8,1.03,7.0,8.3,6.0,41.0,NA,NA,70,NA,,12
Carnivora,Caniformia,Mustelidae,Vormela,Vormela peregusna,0.53,0.6,4.0,4.8,6.0,61.5,NA,NA,NA,NA,,
Carnivora,Caniformia,Mustelidae,Martes,Martes martes,1.2,1.2,18.0,20.0,3.3,30.0,NA,NA,NA,NA,,
Carnivora,Caniformia,Mustelidae,Martes,Martes amerkana,0.77,0.87,14.5,15.8,2.6,26.5,28.0,46,NA,150,365,12
Carnivora,Caniformia,Mustelidae,Martes,Martes pennanti,2.25,3.75,29.0,31.8,2.7,77.0,28.0,46,NA,NA,730,
Carnivora,Caniformia,Mustelidae,Martes,Martes zibellina,1.03,1.18,17.0,18.5,3.0,28.0,32.5,49,NA,NA,600,
Carnivora,Caniformia,Mustelidae,Gulo,Gulo gulo,10.35,11.6,72.5,78.5,2.8,35.0,99.2,70,639,186,630,27
Carnivora,Caniformia,Mustelidae,Tavra,Tavra barbara,4.4,4.4,35.0,35.8,3.5,64.0,NA,NA,NA,144,,
Carnivora,Caniformia,Mustelidae,Grison,Grison vittatus,1.8,2.6,23.5,24.3,2.0,NA,NA,NA,NA,NA,,
Carnivora,Caniformia,Mustelidae,Ictonyx,Ictonyx striatus,0.63,0.77,8.5,9.8,2.3,36.0,15.0,56,NA,NA,,
Carnivora,Caniformia,Mustelidae,Poecilogale,Poecilogale albinucha,0.25,0.3,4.5,4.8,2.0,32.0,4.0,77,NA,NA,,
Carnivora,Caniformia,Mustelidae,Mellivora,Mellivora capensis,7.59,8.08,64.0,72.8,2.5,168.0,NA,NA,NA,288,,6
