sex,height
Male,75
Male,70
Male,68
Male,74
Male,61
Female,65
Female,66
Female,62
Female,66
Male,67
Male,72
Male,72
Male,69
Male,68
Male,69
Male,66
Male,75
Female,64
Female,60
Male,67
Male,66
Male,64
Male,70
Male,73
Male,72
Male,69
Male,69
Male,72
Female,64
Male,72
Male,75
Male,71
Female,67
Female,66
Female,67
Male,69
Male,68
Female,66.75
Male,72
Female,63
Male,69
Male,68
Female,63
Male,60
Male,73
Male,74
Male,74
Male,66
Male,68
Male,73
Male,70
Male,68
Male,73
Male,70.5
Female,64.96062992125984
Male,71
Male,70
Male,67
Male,69
Male,67
Male,69
Male,73
Male,74
Male,70
Male,66
Male,72
Female,65
Male,65
Male,70
Male,73
Male,67
Male,72
Male,68
Male,68
Female,65
Male,72
Male,71
Female,65
Female,72
Male,69
Male,70
Male,72
Male,72
Female,62
Female,65
Male,70
Male,60
Male,67
Female,62
Male,71
Female,63
Male,68
Female,64.1732
Female,64
Male,71
Male,68.5
Female,62
Female,78.74015748031496
Male,70
Male,72
Female,71
Male,71
Female,69.6
Female,65
Male,70
Female,61
Female,63
Male,70
Male,67
Female,62
Male,68
Male,73
Female,66.5
Male,69
Male,74
Male,71.5
Male,76
Male,69
Male,74
Male,74.5
Male,69
Female,66
Female,64
Male,78
Male,67
Female,69
Female,67
Female,63
Male,74
Female,62
Female,69
Female,64
Male,71
Female,62.5
Male,68
Female,67
Male,71
Male,74
Male,75
Female,65
Male,68
Female,65
Female,66
Male,72
Male,73
Male,71
Male,74
Female,63
Male,73
Male,68
Female,77
Male,70.5
Female,63
Male,69
Male,69
Male,68.89
Male,66.5
Female,64.173
Female,63
Female,65
Female,64
Female,63
Female,63
Female,69
Male,69
Female,64
Female,62
Male,70
Male,70
Female,59
Female,65
Male,67.7
Male,72
Male,74
Male,71.7
Male,70.87
Female,66
Male,72
Male,74
Male,69
Male,71
Female,70
Male,70
Male,64
Male,68.11
Female,68
Female,66
Female,64
Male,67
Female,65
Male,72
Male,70
Female,64.57
Female,51
Female,63
Female,70
Male,68
Female,67
Male,71
Male,69
Female,63
Male,71
Male,70
Female,64
Male,70
Male,68
Male,66
Female,69
Male,67
Female,65
Male,72
Male,72
Male,70
Male,75
Female,64
Female,66
Male,68
Female,69
Male,73
Male,66
Male,71
Male,67
Male,70
Male,67
Female,61
Female,64
Female,64
Male,65
Male,72
Male,70
Male,65
Male,69
Male,68
Male,67
Male,59
Male,59
Female,72
Male,77
Male,72
Female,59.05511811023622
Male,70
Male,69
Male,72
Male,69
Male,68.11
Male,68.11
Male,68
Male,65
Female,67
Male,67
Male,68
Male,69
Male,80
Male,68
Male,68
Female,60
Male,70
Female,60
Female,60
Female,64.96
Female,66
Male,68.89763779527559
Male,69.68503937007874
Female,68
Male,70
Male,66
Male,66
Male,63
Male,72
Male,68
Male,72
Male,72.05
Male,71
Male,72.5
Male,70
Male,72
Male,72
Male,68
Male,70
Male,69
Male,80
Male,68
Male,66
Male,70
Male,65
Male,70.07874015748031
Male,75
Male,66
Male,69
Female,53
Male,71
Male,70
Male,72
Male,68.5
Female,68
Female,64.1732283464567
Female,68
Male,59.0551
Male,66.92
Male,72
Male,72
Male,74
Male,68.89763779527559
Female,68
Male,70
Male,69
Female,61
Male,74
Male,65
Male,72
Female,66
Male,68
Male,61
Male,70
Female,65
Male,68
Male,70.07874015748031
Male,70
Male,71
Male,74
Female,64.96062992125984
Male,71
Male,74
Male,64
Male,71
Female,66
Male,65
Female,64.96062992125984
Male,74
Male,75
Male,70.86614173228347
Male,68
Female,62
Male,74.8
Male,69
Male,68.4
Male,67
Male,65
Male,68
Female,67
Male,69.3
Male,66.53543307086615
Male,67
Male,67
Male,73
Male,75
Male,70
Male,71
Female,64
Male,72
Male,70
Male,72
Male,71.5
Male,72
Male,68.8976
Male,68
Male,64
Male,69
Male,70
Female,75
Male,67
Male,61.811023622047244
Male,73
Male,66.53543307086615
Female,63
Male,66
Male,72.04724409448819
Male,67.72
Female,65
Male,69
Male,71
Male,66
Male,72
Male,72.4
Male,69
Male,72
Male,79.05
Male,63.77952755905512
Male,70.07874015748031
Male,70.86614173228347
Male,66.4
Male,72
Male,70
Male,66
Male,69.29
Male,66.92913385826772
Female,63
Female,66.1416
Male,78
Male,75
Male,70.07874015748031
Male,70
Male,66
Female,65
Male,71
Male,68.5
Male,65
Male,69
Male,74.80314960629921
Male,70
Male,66
Male,66
Female,63
Male,71
Male,64
Male,70
Male,72
Male,72.44094488188976
Male,67
Male,68.5
Female,68
Male,69
Male,70
Male,68.5
Male,53.77
Male,66.92
Male,73
Male,68
Male,72
Male,70
Male,66
Male,71.5
Female,66
Male,72.44094488188976
Male,72
Male,67
Male,72
Male,65.74803149606299
Male,72
Male,74
Male,72
Male,72
Male,67.7165
Male,71
Male,65
Male,72
Male,68
Male,71
Male,69
Female,63
Male,71
Male,65
Female,62
Male,67
Male,70.86614173228347
Male,54
Male,65
Male,65
Male,77
Male,67
Male,68.1102
Male,69
Male,68
Female,62
Male,72
Male,70
Male,71
Male,64.961
Female,64
Male,67
Male,70.86614173228347
Male,66
Male,72.04724409448819
Male,66.92913385826772
Male,66
Male,66
Male,70
Male,66
Female,64
Male,72
Male,70
Male,67.71653543307086
Male,75
Male,72
Male,72
Male,68.5
Female,66
Male,71
Male,71
Male,66.14173228346456
Male,72
Female,64
Female,70
Male,67
Male,70
Male,70
Male,72
Male,63
Male,65
Male,63
Male,66.92913385826772
Male,70
Male,70.8
Male,67.71653543307086
Male,68
Female,66
Male,77.1654
Male,65
Male,69.29133858267717
Male,67.5
Male,67.5
Male,68
Male,66
Male,74
Male,72
Male,72.83
Male,77
Male,67
Male,70
Male,64
Male,65
Male,73
Female,62
Male,66.7
Female,69
Male,67
Male,68.11023622047244
Male,69
Male,68.50393700787401
Male,69.29133858267717
Male,68.89763779527559
Male,71
Male,64
Male,67
Male,70
Male,68
Female,67.78
Male,68.5
Male,68
Female,67.71
Male,66.5
Male,69
Male,79
Female,64
Male,60
Male,72
Female,61
Male,74
Female,66
Female,65
Male,67
Male,68.8
Male,69
Male,78
Male,70
Male,66
Male,66
Male,74
Male,71
Male,73
Male,67
Male,72
Male,70
Male,70.1
Male,62
Male,69
Female,65
Female,68
Male,72
Male,72
Male,72
Female,63
Male,66
Male,67
Male,73.2
Female,64
Male,74
Male,73.62
Male,72
Female,68.4
Male,69
Female,61
Male,67
Male,69
Male,66
Male,68
Male,65
Male,68.9
Male,67.71
Male,67
Male,67
Female,59
Female,59
Female,67
Male,72.04724409448819
Male,71
Male,67.71653543307086
Male,68
Male,66.9
Male,68.5
Male,74
Male,76
Male,60
Male,69
Male,72
Male,69
Male,67
Male,70
Male,68.5
Male,70
Male,67
Male,70
Male,69
Female,65
Male,68.9
Male,69
Male,66.14173228346456
Female,66.9291
Male,70
Male,77
Male,70.85
Male,66.92913385826772
Male,68.89763779527559
Female,64
Male,69
Male,67
Male,72
Male,72
Male,67
Male,72
Male,72
Male,72.83
Male,70
Female,63
Male,71
Male,72
Male,72
Male,72.44
Male,70
Male,68
Female,59
Male,71
Male,61.32
Male,72
Male,68
Male,73
Male,71
Male,69
Male,71
Male,66.93
Male,58
Female,55
Male,70
Male,66
Male,65
Male,72
Female,74
Male,71
Male,69
Male,63.77952755905512
Male,71
Male,72
Male,68
Male,69
Male,70
Male,73
Male,64.96062992125984
Male,72.44094488188976
Male,73.22
Female,64
Male,70
Male,75
Male,63
Male,72.05
Male,72
Male,68
Male,75
Male,68
Male,68.11023622047244
Male,70
Female,66.1417
Male,74
Male,62.99212598425197
Male,68
Male,68
Male,70
Male,71
Male,67.71653543307086
Male,66.92913385826772
Male,70
Male,70.08
Male,67.2
Male,69
Male,70
Male,69
Male,72.44
Male,69
Male,72.45
Male,69
Male,67
Male,75.98
Male,71
Male,67
Male,71
Male,67
Male,65
Male,62
Male,71
Male,74
Male,69
Male,72
Male,68.50393700787401
Male,66.92913385826772
Male,68
Male,66.9291
Male,63
Female,62.99212598425197
Male,70
Male,75.59055118110236
Male,68
Male,69
Male,71
Male,71
Male,69.3
Male,65.74803149606299
Male,70.866
Male,67
Male,67.72
Male,70
Male,67
Male,65
Male,67
Female,62.4
Male,71
Male,59.05511811023622
Male,72
Male,68
Male,75
Male,72
Male,66
Male,71
Male,76
Male,69
Male,69
Male,66.92913385826772
Male,66
Male,68.50393700787401
Male,69.29
Male,72
Male,68
Female,64
Male,66
Male,70
Male,67
Male,75.6
Male,71.5
Male,72
Female,63
Female,62
Male,69
Female,68
Male,71.65
Male,75
Male,68.8976
Male,74
Female,65
Female,64
Female,68
Female,65
Female,64
Female,67
Male,69
Male,68
Female,67
Female,68.8976
Female,62.6
Male,70
Female,69
Female,65
Female,63
Male,67.3
Female,64.2
Female,63
Male,61
Male,67
Male,71
Female,61
Female,61
Female,68.11
Female,66.14
