year,co2,source
1959,315.97,Mauna Loa
1960,316.91,Mauna Loa
1961,317.64,Mauna Loa
1962,318.45,Mauna Loa
1963,318.99,Mauna Loa
1964,319.62,Mauna Loa
1965,320.04,Mauna Loa
1966,321.38,Mauna Loa
1967,322.16,Mauna Loa
1968,323.04,Mauna Loa
1969,324.62,Mauna Loa
1970,325.68,Mauna Loa
1971,326.32,Mauna Loa
1972,327.45,Mauna Loa
1973,329.68,Mauna Loa
1974,330.18,Mauna Loa
1975,331.11,Mauna Loa
1976,332.04,Mauna Loa
1977,333.83,Mauna Loa
1978,335.4,Mauna Loa
1979,336.84,Mauna Loa
1980,338.75,Mauna Loa
1981,340.11,Mauna Loa
1982,341.45,Mauna Loa
1983,343.05,Mauna Loa
1984,344.65,Mauna Loa
1985,346.12,Mauna Loa
1986,347.42,Mauna Loa
1987,349.19,Mauna Loa
1988,351.57,Mauna Loa
1989,353.12,Mauna Loa
1990,354.39,Mauna Loa
1991,355.61,Mauna Loa
1992,356.45,Mauna Loa
1993,357.1,Mauna Loa
1994,358.83,Mauna Loa
1995,360.82,Mauna Loa
1996,362.61,Mauna Loa
1997,363.73,Mauna Loa
1998,366.7,Mauna Loa
1999,368.38,Mauna Loa
2000,369.55,Mauna Loa
2001,371.14,Mauna Loa
2002,373.28,Mauna Loa
2003,375.8,Mauna Loa
2004,377.52,Mauna Loa
2005,379.8,Mauna Loa
2006,381.9,Mauna Loa
2007,383.79,Mauna Loa
2008,385.6,Mauna Loa
2009,387.43,Mauna Loa
2010,389.9,Mauna Loa
2011,391.65,Mauna Loa
2012,393.85,Mauna Loa
2013,396.52,Mauna Loa
2014,398.65,Mauna Loa
2015,400.83,Mauna Loa
2016,404.24,Mauna Loa
2017,406.55,Mauna Loa
2018,408.52,Mauna Loa
2001,368.02,Ice Cores
1994,357.11,Ice Cores
1991,352.42,Ice Cores
1989,349.28,Ice Cores
1987,344.72,Ice Cores
1985,342.05,Ice Cores
1979,334.85,Ice Cores
1976,332.37,Ice Cores
1972,330.35,Ice Cores
1971,324.91,Ice Cores
1969,325.08,Ice Cores
1967,320.49,Ice Cores
1965,319.2,Ice Cores
1963,319.07,Ice Cores
1962,319.14,Ice Cores
1961,318.21,Ice Cores
1959,316.33,Ice Cores
1957,315.27,Ice Cores
1956,315.34,Ice Cores
1954,312.8,Ice Cores
1950,312,Ice Cores
1948,311.57,Ice Cores
1946,312.56,Ice Cores
1945,310.44,Ice Cores
1944,312.36,Ice Cores
1942,312.39,Ice Cores
1940,309.8,Ice Cores
1939,310.46,Ice Cores
1938,311.52,Ice Cores
1936,309.34,Ice Cores
1934,309.63,Ice Cores
1933,308.28,Ice Cores
1929,305.38,Ice Cores
1928,305.67,Ice Cores
1925,304.72,Ice Cores
1920,301.88,Ice Cores
1916,301.92,Ice Cores
1911,299.26,Ice Cores
1910,297.87,Ice Cores
1906,297.33,Ice Cores
1902,295.61,Ice Cores
1899,295.28,Ice Cores
1893,295.32,Ice Cores
1890,290.92,Ice Cores
1886,288.12,Ice Cores
1883,292.46,Ice Cores
1874,291.56,Ice Cores
1870,287.99,Ice Cores
1867,285.05,Ice Cores
1862,287.17,Ice Cores
1855,285.57,Ice Cores
1851,288.79,Ice Cores
1846,283.62,Ice Cores
1843,281.58,Ice Cores
1833,283.82,Ice Cores
1825,281.36,Ice Cores
1796,280.4,Ice Cores
1780,273.07,Ice Cores
1764,276.4,Ice Cores
1752,276.46,Ice Cores
1734,278.31,Ice Cores
1694,277.36,Ice Cores
1649,278.02,Ice Cores
1609,271.11,Ice Cores
1588,281.11,Ice Cores
1550,283.53,Ice Cores
1469,280.31,Ice Cores
1411,279.7,Ice Cores
1330,284.07,Ice Cores
1260,282.2,Ice Cores
1200,284.54,Ice Cores
1116,282.84,Ice Cores
1049,280.97,Ice Cores
1018,279.8,Ice Cores
914,280.11,Ice Cores
793,279.72,Ice Cores
701,277.1,Ice Cores
615,277.87,Ice Cores
552,276.56,Ice Cores
437,280,Ice Cores
357,277.8,Ice Cores
274,280.24,Ice Cores
175,277.56,Ice Cores
104,277.5,Ice Cores
1,276.7,Ice Cores
-284,276.7,Ice Cores
-576,277.9,Ice Cores
-852,275.3,Ice Cores
-1107,274.6,Ice Cores
-1481,274,Ice Cores
-1743,273,Ice Cores
-2019,274.9,Ice Cores
-2325,272.8,Ice Cores
-2643,269.1,Ice Cores
-2971,270.7,Ice Cores
-3269,269.8,Ice Cores
-3583,265.2,Ice Cores
-3902,265.5,Ice Cores
-4140,265.5,Ice Cores
-4451,261.2,Ice Cores
-4820,262.1,Ice Cores
-5088,257.6,Ice Cores
-5455,260.7,Ice Cores
-5770,260.4,Ice Cores
-6026,260.8,Ice Cores
-6402,258.3,Ice Cores
-6761,261.8,Ice Cores
-7043,260.4,Ice Cores
-7345,263.7,Ice Cores
-7568,260.6,Ice Cores
-7623,263.8,Ice Cores
-8184,264,Ice Cores
-8417,264.9,Ice Cores
-8852,266,Ice Cores
-9140,264.8,Ice Cores
-9251,265.3,Ice Cores
-9389,264.81,Ice Cores
-9467,264.48,Ice Cores
-9523,269.1,Ice Cores
-9574,269.51,Ice Cores
-9626,267.09,Ice Cores
-9679,266.22,Ice Cores
-9733,254.62,Ice Cores
-9791,255.89,Ice Cores
-9853,258.53,Ice Cores
-9913,253.63,Ice Cores
-9977,258.57,Ice Cores
-10041,255.39,Ice Cores
-10109,253.1,Ice Cores
-10175,253.02,Ice Cores
-10240,250.97,Ice Cores
-10306,248.95,Ice Cores
-10371,250.73,Ice Cores
-10438,243,Ice Cores
-10505,245.83,Ice Cores
-10571,246.74,Ice Cores
-10637,247.02,Ice Cores
-10704,243.95,Ice Cores
-10770,241.59,Ice Cores
-10836,241.5,Ice Cores
-10903,239.35,Ice Cores
-10967,238.79,Ice Cores
-11031,237.15,Ice Cores
-11094,238.86,Ice Cores
-11178,234.82,Ice Cores
-11317,240.42,Ice Cores
-11537,240.25,Ice Cores
