HorseID,Price,Age,Height,Sex
97,38000,3.0,16.75,m
156,40000,5.0,17.0,m
56,10000,1.0,NA,m
139,12000,8.0,16.0,f
65,25000,4.0,16.25,m
184,35000,8.0,16.25,f
88,35000,5.0,16.5,m
182,12000,17.0,16.75,f
101,22000,4.0,17.25,m
135,25000,6.0,15.25,f
35,40000,7.0,16.75,m
39,25000,7.0,15.75,f
198,4500,14.0,16.0,f
107,19900,6.0,15.5,m
148,45000,3.0,15.75,f
102,45000,6.0,16.75,m
96,48000,6.0,16.5,m
71,15500,12.0,15.75,f
28,8500,7.0,16.25,f
30,22000,7.0,16.5,f
31,35000,5.0,16.25,m
60,16000,7.0,16.25,m
23,16000,3.0,16.25,m
115,15000,7.0,16.25,f
234,33000,4.0,16.5,m
132,20000,14.0,16.5,m
69,25000,6.0,17.0,m
141,30000,8.0,16.75,m
63,50000,6.0,16.75,m
164,1100,19.0,16.25,f
178,15000,0.5,14.25,f
4,45000,14.0,17.0,m
211,2000,20.0,16.0,f
89,20000,3.0,15.75,f
57,45000,5.0,16.5,m
200,20000,12.0,17.0,m
38,50000,7.0,17.25,m
2,50000,8.0,16.5,m
248,39000,11.0,17.25,m
27,20000,11.0,16.75,m
19,12000,6.0,16.5,f
129,15000,2.0,15.0,f
13,27500,5.0,16.0,f
206,12000,2.0,NA,f
236,6000,0.5,NA,f
179,15000,0.5,14.5,m
232,60000,13.0,16.75,m
152,50000,4.0,16.5,m
36,30000,9.0,16.5,m
249,40000,7.0,17.25,m
