"time","energy","diff"
1333,5.86,0
2055,3.32,722
9267,2.76,7212
15270,5.59,6003
17842,4.64,2572
18938,9.43,1096
21040,5.92,2102
21784,3.43,744
28575,3.49,6791
28917,4.72,342
36522,3.71,7605
45511,3.96,8989
58722,4.63,13211
59699,4.72,977
60974,3.51,1275
62680,2.72,1706
66760,2.68,4080
76481,3.16,9721
77298,3.84,817
81363,3.7,4065
83024,5.36,1661
95836,6.51,12812
109124,3,13288
112196,4.54,3072
117275,5.1,5079
118452,1.79,1177
120102,3.57,1650
123588,3.51,3486
125890,2.52,2302
127087,7.28,1197
136959,4.86,9872
145431,3.01,8472
146564,3.5,1133
146700,4.26,136
164886,4.38,18186
164933,1.88,47
172327,5.42,7394
176555,3.11,4228
187052,1.62,10497
189791,5.45,2739
190159,2.92,368
197333,5.47,7174
198002,1.1,669
200043,4.19,2041
201714,4.72,1671
202195,4.34,481
206338,4.33,4143
210399,4.78,4061
212994,4.66,2595
213013,3.47,19
214165,4.45,1152
226029,2.32,11864
226051,4.9,22
233165,3.56,7114
236994,6.55,3829
237321,2.7,327
237858,3.75,537
238904,6.38,1046
247931,4.53,9027
253063,5.59,5132
253808,4.5,745
255262,3.72,1454
257989,6.3,2727
261013,6.39,3024
262138,2.15,1125
263774,3.83,1636
265584,5.89,1810
270145,5.16,4561
274423,3.28,4278
285542,3.4,11119
289983,3.77,4441
292735,5.07,2752
300160,1.03,7425
301548,4.34,1388
303263,1.55,1715
303549,5.17,286
306637,4.25,3088
307086,1.9,449
307601,3.5,515
310865,5.92,3264
317370,3.39,6505
319166,6.08,1796
322832,2.29,3666
331294,6.4,8462
332085,3.95,791
335393,4.02,3308
359930,5.85,24537
361642,1.76,1712
366385,4.46,4743
378547,4.1,12162
378858,4.75,311
385677,9.11,6819
390470,3.09,4793
391592,4.86,1122
394871,6.02,3279
395207,6.48,336
398706,3.65,3499
399093,4.13,387
399202,4.51,109
407055,4.72,7853
412354,2.59,5299
416048,4.67,3694
422449,3.66,6401
424877,5.02,2428
438880,1.73,14003
446214,3.97,7334
449628,1.66,3414
450567,1.1,939
453234,4.23,2667
453388,3.46,154
460506,5.2,7118
465296,3.47,4790
468273,3.29,2977
473070,9.02,4797
494435,3.51,21365
502972,3.49,8537
504436,5.48,1464
506638,2.4,2202
512618,3.96,5980
517166,4.09,4548
519871,3.61,2705
523078,9.44,3207
524224,6.43,1146
526256,3.42,2032
532406,2.4,6150
533851,4.76,1445
537944,4.58,4093
537988,4.9,44
539706,2.51,1718
540978,2.89,1272
544735,3.18,3757
546604,3.73,1869
553461,3.55,6857
558549,2.75,5088
559039,5.1,490
559224,2.32,185
563870,4.65,4646
571968,1.63,8098
573482,6.79,1514
575278,6.35,1796
575605,4.48,327
575665,5.83,60
578253,6.44,2588
581397,5.08,3144
581554,3.97,157
582170,4.3,616
582499,4.91,329
583212,6.1,713
594988,4.92,11776
595258,2.91,270
595751,7.7,493
601977,4.68,6226
608629,3.65,6652
610724,4.93,2095
625852,3.25,15128
628314,4.32,2462
638268,4.29,9954
640885,2.24,2617
649676,3.34,8791
651762,3.9,2086
656005,7.22,4243
657686,7.53,1681
661471,2.95,3785
662891,5.35,1420
666380,2.32,3489
671161,3.18,4781
672373,3.17,1212
674578,4.04,2205
676441,1.69,1863
676978,4.51,537
677126,2.65,148
680314,4.1,3188
684827,4.4,4513
685054,7.3,227
685650,3.97,596
689680,4.61,4030
700309,5.25,10629
706001,4.06,5692
709459,3.67,3458
712550,1.78,3091
716555,1.9,4005
732140,5.03,15585
735624,3.82,3484
735727,4.81,103
737753,6.41,2026
739157,6.18,1404
750157,3.72,11000
752114,3.47,1957
754203,3.56,2089
754765,2.53,562
756254,3.64,1489
767144,3.61,10890
772681,3.52,5537
776485,3.54,3804
788349,4.29,11864
788638,0.92,289
795024,2.94,6386
795335,2.75,311
796400,4.27,1065
800794,5.35,4394
806463,4.2,5669
810371,3.2,3908
821176,3.06,10805
823620,5.58,2444
825834,5.08,2214
829870,4.74,4036
836124,2.87,6254
843509,6.56,7385
848201,3.04,4692
